node1,node2,trail,distance
A,CC,trail_1,7
CE,BH,trail_2,6
AT,BZ,trail_3,6
BA,CP,trail_4,6
BU,AS,trail_5,8
D,CE,trail_6,9
R,CA,trail_7,8
AG,CD,trail_8,8
AJ,BC,trail_9,5
BS,BD,trail_10,3
CP,BO,trail_11,3
CC,AF,trail_12,8
AW,BD,trail_13,4
AL,BU,trail_14,7
W,Q,trail_15,6
CD,AU,trail_16,1
BU,BH,trail_17,1
D,O,trail_18,10
AY,O,trail_19,7
CR,AG,trail_20,5
D,CG,trail_21,5
BK,H,trail_22,3
BE,L,trail_23,6
H,T,trail_24,6
C,BO,trail_25,2
BD,AU,trail_26,3
BF,M,trail_27,1
CT,K,trail_28,3
BP,CP,trail_29,3
CQ,BB,trail_30,2
AS,BE,trail_31,9
BY,AJ,trail_32,10
AE,V,trail_33,10
AJ,R,trail_34,8
AQ,Q,trail_35,3
CC,BB,trail_36,4
BE,N,trail_37,2
AS,CB,trail_38,6
CM,AT,trail_39,4
AY,B,trail_40,10
CT,J,trail_41,4
BV,CV,trail_42,9
CQ,BN,trail_43,3
AU,CJ,trail_44,6
CS,CG,trail_45,5
BZ,AV,trail_46,1
BN,AO,trail_47,5
CI,R,trail_48,9
CH,P,trail_49,5
AA,I,trail_50,2
BF,CK,trail_51,3
CG,BK,trail_52,3
CF,K,trail_53,2
AL,M,trail_54,8
CL,AL,trail_55,7
K,BT,trail_56,6
BR,BW,trail_57,4
A,AP,trail_58,1
BP,CU,trail_59,9
AH,AR,trail_60,2
AU,CE,trail_61,7
CB,CL,trail_62,2
CA,BW,trail_63,4
BH,CV,trail_64,3
BF,CD,trail_65,7
BY,L,trail_66,3
T,K,trail_67,7
CL,BQ,trail_68,5
CR,P,trail_69,3
CK,CN,trail_70,1
BW,CC,trail_71,7
B,AS,trail_72,5
CL,CK,trail_73,10
AO,BY,trail_74,5
CG,BQ,trail_75,1
CC,Z,trail_76,5
AD,K,trail_77,3
CO,CU,trail_78,8
AD,CE,trail_79,4
AJ,BW,trail_80,6
BI,BM,trail_81,7
AD,BV,trail_82,5
CM,W,trail_83,4
CT,V,trail_84,3
BP,CH,trail_85,10
CK,BP,trail_86,7
CM,AU,trail_87,2
BX,A,trail_88,5
AY,AW,trail_89,8
BY,P,trail_90,5
BC,AE,trail_91,6
CD,P,trail_92,6
AN,AI,trail_93,1
L,Q,trail_94,10
AG,CN,trail_95,2
CP,W,trail_96,7
AR,AZ,trail_97,6
W,CV,trail_98,6
AT,C,trail_99,7
CE,BO,trail_100,4
R,CP,trail_101,5
AQ,V,trail_102,5
AS,F,trail_103,1
BG,BO,trail_104,5
S,BZ,trail_105,6
V,C,trail_106,3
CU,AZ,trail_107,6
BM,Q,trail_108,7
AU,W,trail_109,1
BL,AN,trail_110,2
AH,CJ,trail_111,9
B,CG,trail_112,2
CI,BR,trail_113,4
T,M,trail_114,3
CN,BU,trail_115,7
V,BI,trail_116,6
F,AP,trail_117,2
AV,CO,trail_118,6
AL,CV,trail_119,2
CC,CD,trail_120,10
AD,BA,trail_121,8
O,AL,trail_122,2
BC,AH,trail_123,3
AP,CV,trail_124,9
F,AG,trail_125,9
W,CE,trail_126,1
K,AT,trail_127,2
BP,AR,trail_128,8
CB,CG,trail_129,5
AB,BS,trail_130,7
BQ,CS,trail_131,10
G,E,trail_132,7
CR,CD,trail_133,2
BE,AL,trail_134,1
CH,T,trail_135,3
