node1,node2,trail,distance
A,P,trail_1,1
O,BJ,trail_2,2
G,CO,trail_3,9
BM,BE,trail_4,5
Z,BG,trail_5,10
V,BG,trail_6,9
Y,BT,trail_7,9
AJ,M,trail_8,1
BG,Y,trail_9,7
CQ,AY,trail_10,5
O,CE,trail_11,2
BH,Y,trail_12,6
AZ,M,trail_13,10
BV,BP,trail_14,4
AU,BL,trail_15,3
BT,AU,trail_16,9
X,BA,trail_17,2
R,Z,trail_18,3
AY,BU,trail_19,9
BX,BN,trail_20,3
I,BD,trail_21,3
E,J,trail_22,4
AL,BK,trail_23,3
AR,W,trail_24,8
V,BI,trail_25,6
BY,BZ,trail_26,1
BU,CU,trail_27,9
BO,BA,trail_28,3
S,BI,trail_29,9
AY,AE,trail_30,9
BO,B,trail_31,8
AM,P,trail_32,2
CK,C,trail_33,10
N,CH,trail_34,2
CE,AD,trail_35,7
BM,BB,trail_36,4
CN,AH,trail_37,2
CD,BG,trail_38,10
AW,CO,trail_39,7
CA,Q,trail_40,6
AM,BJ,trail_41,9
AL,AE,trail_42,4
AF,BN,trail_43,3
AT,CI,trail_44,1
AW,AN,trail_45,7
BM,BJ,trail_46,7
CC,CO,trail_47,10
AI,CV,trail_48,10
AB,L,trail_49,7
AX,BK,trail_50,5
AG,BM,trail_51,4
M,T,trail_52,5
M,V,trail_53,10
E,BZ,trail_54,5
AE,CC,trail_55,8
CV,BU,trail_56,3
AA,BN,trail_57,10
BG,CF,trail_58,2
CG,AJ,trail_59,5
BO,AA,trail_60,3
BE,BU,trail_61,8
D,AJ,trail_62,4
B,BK,trail_63,8
AQ,AN,trail_64,3
AE,BD,trail_65,3
CE,CC,trail_66,1
I,Y,trail_67,2
CE,E,trail_68,6
CU,K,trail_69,6
BM,A,trail_70,8
CC,AC,trail_71,2
AJ,AF,trail_72,3
CO,CA,trail_73,1
CI,BG,trail_74,1
BF,BD,trail_75,2
X,AB,trail_76,7
AR,BM,trail_77,7
AU,AN,trail_78,10
C,CI,trail_79,5
D,CU,trail_80,7
AF,BT,trail_81,4
AE,B,trail_82,4
D,X,trail_83,6
CQ,L,trail_84,10
A,CP,trail_85,7
AM,BZ,trail_86,6
CA,D,trail_87,5
J,AS,trail_88,10
BS,BN,trail_89,1
AM,CC,trail_90,4
BE,I,trail_91,3
CN,BI,trail_92,9
CM,BZ,trail_93,2
F,B,trail_94,7
BH,AF,trail_95,10
AF,CI,trail_96,9
AT,AB,trail_97,2
BU,BK,trail_98,3
N,K,trail_99,1
G,CV,trail_100,3
G,AU,trail_101,3
AG,D,trail_102,3
AR,AK,trail_103,6
CJ,CL,trail_104,1
L,CP,trail_105,7
L,CK,trail_106,7
M,AL,trail_107,5
BS,CM,trail_108,5
W,BQ,trail_109,5
CD,AR,trail_110,5
BN,CK,trail_111,10
BR,AJ,trail_112,8
AY,P,trail_113,1
AP,CS,trail_114,10
J,W,trail_115,2
BQ,CA,trail_116,5
G,AQ,trail_117,1
CB,BY,trail_118,1
CC,BB,trail_119,1
CC,AW,trail_120,4
O,AP,trail_121,3
BH,Q,trail_122,3
AG,BN,trail_123,9
BF,CI,trail_124,2
BE,AT,trail_125,8
AQ,BA,trail_126,9
AE,W,trail_127,7
N,Q,trail_128,6
CM,CA,trail_129,10
I,CF,trail_130,3
G,CG,trail_131,10
AS,CQ,trail_132,1
BY,C,trail_133,8
AF,C,trail_134,4
BH,BX,trail_135,2
CV,BO,trail_136,2
BA,BV,trail_137,3
A,BP,trail_138,7
BP,BZ,trail_139,4
H,T,trail_140,2
G,Z,trail_141,10
AV,Y,trail_142,6
BB,AP,trail_143,1
CE,AB,trail_144,9
CT,CD,trail_145,6
AA,H,trail_146,6
CB,AN,trail_147,4
N,R,trail_148,10
AQ,AR,trail_149,8
S,BE,trail_150,5
AY,AF,trail_151,10
A,V,trail_152,3
W,L,trail_153,3
AU,AI,trail_154,7
CG,O,trail_155,2
CK,CI,trail_156,6
BG,H,trail_157,7
BY,CH,trail_158,4
CK,U,trail_159,1
T,Z,trail_160,10
D,CE,trail_161,8
CD,BC,trail_162,6
CH,AN,trail_163,10
BN,CV,trail_164,8
T,AE,trail_165,2
N,AY,trail_166,2
Z,AO,trail_167,7
CG,CL,trail_168,9
X,BE,trail_169,8
CQ,M,trail_170,10
CK,BP,trail_171,5
BG,CU,trail_172,4
Y,BQ,trail_173,5
F,R,trail_174,4
CL,C,trail_175,3
CR,AN,trail_176,7
L,G,trail_177,9
X,CI,trail_178,2
CF,BU,trail_179,6
Q,CV,trail_180,6
CO,CF,trail_181,10
T,BC,trail_182,7
X,H,trail_183,10
AW,CH,trail_184,7
CE,CL,trail_185,1
BV,CB,trail_186,6
J,CM,trail_187,5
CL,BK,trail_188,3
F,BJ,trail_189,10
C,AY,trail_190,6
AK,H,trail_191,3
BF,BE,trail_192,8
A,L,trail_193,2
AQ,AL,trail_194,9
D,AF,trail_195,2
CD,AX,trail_196,2
CN,BD,trail_197,3
Z,AW,trail_198,9
CU,J,trail_199,1
T,BX,trail_200,5
BT,AV,trail_201,7
BW,AK,trail_202,9
