node1,node2,trail,distance
AS,CQ,trail_1,8
AN,CU,trail_2,6
AP,V,trail_3,10
AU,AN,trail_4,5
BS,W,trail_5,8
B,CO,trail_6,1
BY,F,trail_7,6
BP,BR,trail_8,5
CC,CV,trail_9,8
BL,A,trail_10,7
X,A,trail_11,5
AR,AB,trail_12,7
BF,V,trail_13,4
BO,CI,trail_14,1
CU,U,trail_15,9
O,CN,trail_16,10
AC,CQ,trail_17,9
D,CO,trail_18,10
E,O,trail_19,10
AW,BV,trail_20,8
AK,BE,trail_21,8
CS,T,trail_22,6
B,E,trail_23,9
X,CT,trail_24,3
BP,CG,trail_25,8
BV,U,trail_26,6
CR,N,trail_27,4
A,J,trail_28,6
C,AX,trail_29,8
BG,CC,trail_30,6
AP,BI,trail_31,2
BA,V,trail_32,9
BO,BX,trail_33,8
CG,BW,trail_34,9
BO,CL,trail_35,5
C,BA,trail_36,9
BO,BQ,trail_37,3
BU,CC,trail_38,6
CA,CO,trail_39,3
J,BQ,trail_40,2
AP,BQ,trail_41,2
CV,AO,trail_42,9
AJ,X,trail_43,9
CG,AG,trail_44,8
CJ,BX,trail_45,3
K,BM,trail_46,7
BO,C,trail_47,4
AS,Q,trail_48,4
AE,CI,trail_49,5
CR,W,trail_50,8
BW,J,trail_51,6
AF,M,trail_52,7
AG,H,trail_53,5
BL,BR,trail_54,6
AW,AL,trail_55,2
BO,AN,trail_56,10
G,L,trail_57,8
CT,AR,trail_58,1
AZ,P,trail_59,10
BL,AV,trail_60,8
AC,S,trail_61,1
Z,V,trail_62,4
AQ,J,trail_63,5
K,BZ,trail_64,1
CP,BD,trail_65,8
BR,CV,trail_66,1
CB,AO,trail_67,3
CT,AM,trail_68,10
AL,BL,trail_69,8
AB,AL,trail_70,6
CN,K,trail_71,5
AC,E,trail_72,9
AM,AF,trail_73,1
BR,BD,trail_74,1
AS,BV,trail_75,7
R,BB,trail_76,4
E,AL,trail_77,2
AF,AY,trail_78,9
W,V,trail_79,7
A,AJ,trail_80,6
N,S,trail_81,10
J,CC,trail_82,7
R,AQ,trail_83,2
AE,BP,trail_84,4
CD,AG,trail_85,2
CE,BG,trail_86,5
