node1,node2,trail,distance
M,Q,trail_1,3
J,H,trail_2,5
H,Z,trail_3,10
Q,AD,trail_4,1
H,Y,trail_5,7
Z,AA,trail_6,8
V,D,trail_7,6
AB,E,trail_8,9
H,AB,trail_9,10
G,X,trail_10,5
AD,AB,trail_11,4
J,V,trail_12,5
C,V,trail_13,8
S,H,trail_14,3
O,Q,trail_15,2
H,T,trail_16,3
N,R,trail_17,8
W,T,trail_18,4
N,K,trail_19,10
Q,AB,trail_20,4
AA,I,trail_21,3
AA,Y,trail_22,2
M,H,trail_23,7
AA,O,trail_24,7
C,D,trail_25,3
V,AC,trail_26,8
D,X,trail_27,3
R,A,trail_28,10
C,AA,trail_29,3
B,AD,trail_30,3
Q,Y,trail_31,6
R,B,trail_32,1
W,P,trail_33,1
N,Q,trail_34,6
F,G,trail_35,9
O,Z,trail_36,6
K,I,trail_37,7
L,AC,trail_38,5
AA,V,trail_39,6
M,G,trail_40,5
AB,G,trail_41,8
G,C,trail_42,9
K,Q,trail_43,2
D,M,trail_44,9
B,T,trail_45,9
AC,AA,trail_46,4
AC,W,trail_47,5
Q,E,trail_48,10
AC,N,trail_49,8
R,O,trail_50,2
L,J,trail_51,8
I,X,trail_52,7
L,A,trail_53,1
S,G,trail_54,8
D,K,trail_55,8
I,V,trail_56,10
R,Q,trail_57,7
E,AC,trail_58,4
U,D,trail_59,10
