node1,node2,trail,distance
E,AD,trail_1,9
AD,AC,trail_2,6
B,G,trail_3,3
Q,I,trail_4,8
G,O,trail_5,10
S,B,trail_6,1
S,Z,trail_7,4
O,AD,trail_8,7
X,R,trail_9,9
V,Q,trail_10,6
AB,B,trail_11,8
F,L,trail_12,5
C,K,trail_13,8
Q,F,trail_14,3
Y,P,trail_15,9
N,X,trail_16,7
C,Q,trail_17,4
J,V,trail_18,9
AA,Y,trail_19,2
D,L,trail_20,10
AB,P,trail_21,9
U,D,trail_22,5
M,AC,trail_23,8
J,AB,trail_24,3
A,M,trail_25,6
K,AA,trail_26,10
V,S,trail_27,6
D,AD,trail_28,10
F,G,trail_29,4
G,Z,trail_30,6
V,L,trail_31,10
Y,O,trail_32,7
D,C,trail_33,6
J,AA,trail_34,7
AB,E,trail_35,3
F,AC,trail_36,2
H,AA,trail_37,7
Z,Q,trail_38,10
O,E,trail_39,4
Z,B,trail_40,5
K,A,trail_41,2
L,O,trail_42,2
D,X,trail_43,8
T,M,trail_44,5
I,T,trail_45,1
AA,AB,trail_46,9
AD,H,trail_47,8
AB,N,trail_48,10
P,A,trail_49,9
AA,R,trail_50,7
C,H,trail_51,5
K,W,trail_52,2
