node1,node2,trail,distance
I,J,trail_1,8
H,P,trail_2,8
K,D,trail_3,7
O,J,trail_4,6
O,E,trail_5,6
H,M,trail_6,8
Y,R,trail_7,9
N,AB,trail_8,3
Z,W,trail_9,7
S,C,trail_10,9
K,Y,trail_11,8
AC,T,trail_12,10
T,X,trail_13,7
A,F,trail_14,9
Z,Y,trail_15,9
J,Q,trail_16,9
I,N,trail_17,5
Z,AB,trail_18,7
L,A,trail_19,9
H,G,trail_20,10
J,E,trail_21,5
Q,AB,trail_22,1
AC,B,trail_23,5
D,X,trail_24,5
AC,R,trail_25,9
U,C,trail_26,3
S,D,trail_27,5
AB,Y,trail_28,1
P,AC,trail_29,6
M,AC,trail_30,2
P,R,trail_31,4
C,F,trail_32,2
P,Z,trail_33,3
E,AC,trail_34,7
B,T,trail_35,2
AC,Z,trail_36,4
J,G,trail_37,10
E,A,trail_38,1
W,R,trail_39,5
F,I,trail_40,1
M,Z,trail_41,2
L,O,trail_42,4
L,R,trail_43,8
AB,F,trail_44,9
V,M,trail_45,2
S,AD,trail_46,10
E,H,trail_47,9
Y,L,trail_48,4
F,W,trail_49,2
A,I,trail_50,2
AB,R,trail_51,6
N,R,trail_52,9
L,AB,trail_53,8
W,M,trail_54,9
F,K,trail_55,4
J,AA,trail_56,1
