node1,node2,trail,distance
P,J,trail_1,7
AC,L,trail_2,10
C,P,trail_3,6
I,AA,trail_4,7
AD,Z,trail_5,3
S,W,trail_6,8
J,K,trail_7,7
N,O,trail_8,4
W,Q,trail_9,9
T,P,trail_10,2
Q,AB,trail_11,5
X,Z,trail_12,1
Q,I,trail_13,8
I,S,trail_14,9
F,P,trail_15,10
W,T,trail_16,10
B,A,trail_17,6
AC,R,trail_18,2
C,Q,trail_19,7
Y,AC,trail_20,9
I,H,trail_21,7
R,N,trail_22,9
W,B,trail_23,5
C,AA,trail_24,1
U,K,trail_25,1
H,S,trail_26,4
L,AD,trail_27,2
M,AD,trail_28,9
S,Z,trail_29,10
B,U,trail_30,1
L,G,trail_31,7
T,Y,trail_32,7
AB,I,trail_33,8
C,AB,trail_34,6
AC,O,trail_35,6
C,V,trail_36,3
O,AB,trail_37,2
AA,E,trail_38,5
Y,W,trail_39,5
W,AB,trail_40,4
E,L,trail_41,5
S,E,trail_42,5
U,AA,trail_43,2
E,AC,trail_44,2
U,M,trail_45,6
Y,H,trail_46,5
J,B,trail_47,9
M,V,trail_48,3
T,N,trail_49,1
P,AD,trail_50,8
I,AD,trail_51,3
W,R,trail_52,6
Q,AA,trail_53,8
H,AB,trail_54,5
C,A,trail_55,8
Q,H,trail_56,2
X,W,trail_57,1
R,K,trail_58,10
O,B,trail_59,7
AD,C,trail_60,5
R,AB,trail_61,6
M,S,trail_62,2
E,AD,trail_63,4
M,W,trail_64,1
H,J,trail_65,8
I,L,trail_66,4
Y,R,trail_67,9
M,L,trail_68,6
AA,M,trail_69,7
D,AC,trail_70,10
